question_id,question,option_a,option_b,option_c,option_d,concept
4000,النسب والتناسب سؤال 1: كم يساوي 1/8 ؟,0.5,0.25,1,2,معدل
4001,النسب والتناسب سؤال 2: كم يساوي 2/3 ؟,0.5,0.25,1,2,التناسب
4002,النسب والتناسب سؤال 3: كم يساوي 3/9 ؟,0.5,0.25,1,2,النسب
4003,النسب والتناسب سؤال 4: كم يساوي 4/4 ؟,0.5,0.25,1,2,النسب
4004,النسب والتناسب سؤال 5: كم يساوي 5/4 ؟,0.5,0.25,1,2,التناسب
4005,النسب والتناسب سؤال 6: كم يساوي 6/9 ؟,0.5,0.25,1,2,النسب
4006,النسب والتناسب سؤال 7: كم يساوي 7/8 ؟,0.5,0.25,1,2,التناسب
4007,النسب والتناسب سؤال 8: كم يساوي 8/2 ؟,0.5,0.25,1,2,التناسب
4008,النسب والتناسب سؤال 9: كم يساوي 9/4 ؟,0.5,0.25,1,2,النسب
4009,النسب والتناسب سؤال 10: كم يساوي 10/8 ؟,0.5,0.25,1,2,النسب
4010,النسب والتناسب سؤال 11: كم يساوي 11/4 ؟,0.5,0.25,1,2,معدل
4011,النسب والتناسب سؤال 12: كم يساوي 12/5 ؟,0.5,0.25,1,2,النسب
4012,النسب والتناسب سؤال 13: كم يساوي 13/9 ؟,0.5,0.25,1,2,النسب
4013,النسب والتناسب سؤال 14: كم يساوي 14/7 ؟,0.5,0.25,1,2,التناسب
4014,النسب والتناسب سؤال 15: كم يساوي 15/8 ؟,0.5,0.25,1,2,التناسب
4015,النسب والتناسب سؤال 16: كم يساوي 16/8 ؟,0.5,0.25,1,2,التناسب
4016,النسب والتناسب سؤال 17: كم يساوي 17/4 ؟,0.5,0.25,1,2,النسب
4017,النسب والتناسب سؤال 18: كم يساوي 18/7 ؟,0.5,0.25,1,2,معدل
4018,النسب والتناسب سؤال 19: كم يساوي 19/2 ؟,0.5,0.25,1,2,معدل
4019,النسب والتناسب سؤال 20: كم يساوي 20/4 ؟,0.5,0.25,1,2,التناسب
4020,النسب والتناسب سؤال 21: كم يساوي 21/9 ؟,0.5,0.25,1,2,معدل
4021,النسب والتناسب سؤال 22: كم يساوي 22/2 ؟,0.5,0.25,1,2,النسب
4022,النسب والتناسب سؤال 23: كم يساوي 23/7 ؟,0.5,0.25,1,2,معدل
4023,النسب والتناسب سؤال 24: كم يساوي 24/2 ؟,0.5,0.25,1,2,التناسب
4024,النسب والتناسب سؤال 25: كم يساوي 25/7 ؟,0.5,0.25,1,2,معدل
4025,النسب والتناسب سؤال 26: كم يساوي 26/5 ؟,0.5,0.25,1,2,النسب
4026,النسب والتناسب سؤال 27: كم يساوي 27/5 ؟,0.5,0.25,1,2,معدل
4027,النسب والتناسب سؤال 28: كم يساوي 28/9 ؟,0.5,0.25,1,2,معدل
4028,النسب والتناسب سؤال 29: كم يساوي 29/9 ؟,0.5,0.25,1,2,التناسب
4029,النسب والتناسب سؤال 30: كم يساوي 30/3 ؟,0.5,0.25,1,2,معدل
4030,النسب والتناسب سؤال 31: كم يساوي 31/3 ؟,0.5,0.25,1,2,النسب
4031,النسب والتناسب سؤال 32: كم يساوي 32/3 ؟,0.5,0.25,1,2,التناسب
4032,النسب والتناسب سؤال 33: كم يساوي 33/6 ؟,0.5,0.25,1,2,النسب
4033,النسب والتناسب سؤال 34: كم يساوي 34/8 ؟,0.5,0.25,1,2,معدل
4034,النسب والتناسب سؤال 35: كم يساوي 35/5 ؟,0.5,0.25,1,2,معدل
4035,النسب والتناسب سؤال 36: كم يساوي 36/8 ؟,0.5,0.25,1,2,معدل
4036,النسب والتناسب سؤال 37: كم يساوي 37/4 ؟,0.5,0.25,1,2,النسب
4037,النسب والتناسب سؤال 38: كم يساوي 38/9 ؟,0.5,0.25,1,2,معدل
4038,النسب والتناسب سؤال 39: كم يساوي 39/4 ؟,0.5,0.25,1,2,التناسب
4039,النسب والتناسب سؤال 40: كم يساوي 40/4 ؟,0.5,0.25,1,2,التناسب
4040,النسب والتناسب سؤال 41: كم يساوي 41/5 ؟,0.5,0.25,1,2,التناسب
4041,النسب والتناسب سؤال 42: كم يساوي 42/7 ؟,0.5,0.25,1,2,النسب
4042,النسب والتناسب سؤال 43: كم يساوي 43/9 ؟,0.5,0.25,1,2,معدل
4043,النسب والتناسب سؤال 44: كم يساوي 44/5 ؟,0.5,0.25,1,2,النسب
4044,النسب والتناسب سؤال 45: كم يساوي 45/3 ؟,0.5,0.25,1,2,النسب
4045,النسب والتناسب سؤال 46: كم يساوي 46/2 ؟,0.5,0.25,1,2,التناسب
4046,النسب والتناسب سؤال 47: كم يساوي 47/7 ؟,0.5,0.25,1,2,معدل
4047,النسب والتناسب سؤال 48: كم يساوي 48/9 ؟,0.5,0.25,1,2,معدل
4048,النسب والتناسب سؤال 49: كم يساوي 49/8 ؟,0.5,0.25,1,2,النسب
4049,النسب والتناسب سؤال 50: كم يساوي 50/8 ؟,0.5,0.25,1,2,النسب
